problem_statement,titleslug,title,tags,num_occur
"Design a data structure that is initialized with a list of different words. Provided a string, you should determine if you can change exactly one character in this string to match any word in the data structure. Implement the MagicDictionary class:  MagicDictionary() Initializes the object. void buildDict(String[] dictionary) Sets the data structure with an array of distinct strings dictionary. bool search(String searchWord) Returns true if you can change exactly one character in searchWord to match any string in the data structure, otherwise returns false.   ",implement-magic-dictionary,Implement Magic Dictionary,"Hash Table, String, Design, Trie",2
"Given an integer array nums, return the number of longest increasing subsequences. Notice that the sequence has to be strictly increasing.  ",number-of-longest-increasing-subsequence,Number of Longest Increasing Subsequence,"Array, Dynamic Programming, Binary Indexed Tree, Segment Tree",2
"You are given an integer array nums that is sorted in non-decreasing order. Determine if it is possible to split nums into one or more subsequences such that both of the following conditions are true:  Each subsequence is a consecutive increasing sequence (i.e. each integer is exactly one more than the previous integer). All subsequences have a length of 3 or more.  Return true if you can split nums according to the above conditions, or false otherwise. A subsequence of an array is a new array that is formed from the original array by deleting some (can be none) of the elements without disturbing the relative positions of the remaining elements. (i.e., [1,3,5] is a subsequence of [1,2,3,4,5] while [1,3,2] is not).  ",split-array-into-consecutive-subsequences,Split Array into Consecutive Subsequences,"Array, Hash Table, Greedy, Heap (Priority Queue)",2
"Given the roots of two binary trees root and subRoot, return true if there is a subtree of root with the same structure and node values of subRoot and false otherwise. A subtree of a binary tree tree is a tree that consists of a node in tree and all of this node's descendants. The tree tree could also be considered as a subtree of itself.  ",subtree-of-another-tree,Subtree of Another Tree,"Tree, Depth-First Search, String Matching, Binary Tree, Hash Function",2
"Given two strings s1 and s2, return true if s2 contains a permutation of s1, or false otherwise. In other words, return true if one of s1's permutations is the substring of s2.  ",permutation-in-string,Permutation in String,"Hash Table, Two Pointers, String, Sliding Window",2
"Given an integer array nums and an integer k, return true if nums has a good subarray or false otherwise. A good subarray is a subarray where:  its length is at least two, and the sum of the elements of the subarray is a multiple of k.  Note that:  A subarray is a contiguous part of the array. An integer x is a multiple of k if there exists an integer n such that x = n * k. 0 is always a multiple of k.   ",continuous-subarray-sum,Continuous Subarray Sum,"Array, Hash Table, Math, Prefix Sum",2
"We define the usage of capitals in a word to be right when one of the following cases holds:  All letters in this word are capitals, like ""USA"". All letters in this word are not capitals, like ""leetcode"". Only the first letter in this word is capital, like ""Google"".  Given a string word, return true if the usage of capitals in it is right.  ",detect-capital,Detect Capital,String,2
"The Fibonacci numbers, commonly denoted F(n) form a sequence, called the Fibonacci sequence, such that each number is the sum of the two preceding ones, starting from 0 and 1. That is,  F(0) = 0, F(1) = 1 F(n) = F(n - 1) + F(n - 2), for n > 1.  Given n, calculate F(n).  ",fibonacci-number,Fibonacci Number,"Math, Dynamic Programming, Recursion, Memoization",2
"Given an m x n matrix mat, return an array of all the elements of the array in a diagonal order.  ",diagonal-traverse,Diagonal Traverse,"Array, Matrix, Simulation",2
"You are given an integer array nums and an integer target. You want to build an expression out of nums by adding one of the symbols '+' and '-' before each integer in nums and then concatenate all the integers.  For example, if nums = [2, 1], you can add a '+' before 2 and a '-' before 1 and concatenate them to build the expression ""+2-1"".  Return the number of different expressions that you can build, which evaluates to target.  ",target-sum,Target Sum,"Array, Dynamic Programming, Backtracking",2
"You are given an integer array nums. Two players are playing a game with this array: player 1 and player 2. Player 1 and player 2 take turns, with player 1 starting first. Both players start the game with a score of 0. At each turn, the player takes one of the numbers from either end of the array (i.e., nums[0] or nums[nums.length - 1]) which reduces the size of the array by 1. The player adds the chosen number to their score. The game ends when there are no more elements in the array. Return true if Player 1 can win the game. If the scores of both players are equal, then player 1 is still the winner, and you should also return true. You may assume that both players are playing optimally.  ",predict-the-winner,Predict the Winner,"Array, Math, Dynamic Programming, Recursion, Game Theory",2
"Given a binary array nums, return the maximum number of consecutive 1's in the array.  ",max-consecutive-ones,Max Consecutive Ones,Array,2
"The Hamming distance between two integers is the number of positions at which the corresponding bits are different. Given two integers x and y, return the Hamming distance between them.  ",hamming-distance,Hamming Distance,Bit Manipulation,2
